iter	MAE
0	0.8949056333
5	0.8878237287
10	0.8822993972
15	0.8767290757
20	0.8709378897
25	0.865332818
30	0.8594938622
35	0.8537184121
40	0.8480371899
45	0.8422124714
50	0.8366526405
55	0.8309332026
60	0.8252740857
65	0.8193671283
70	0.8136038547
75	0.8078876951
80	0.8028657885
85	0.7981351834
90	0.7937454291
95	0.7895809417
100	0.7859075456
105	0.7826413627
110	0.7794752152
115	0.7763451291
120	0.7732992957
125	0.7704547975
130	0.7676196191
135	0.7649066749
140	0.762432907
145	0.7599715967
150	0.7578956286
155	0.7558803094
160	0.7539179583
165	0.7520159749
170	0.7501164738
175	0.7482442294
180	0.7465398815
185	0.7448508012
190	0.7431315604
195	0.7417328917
200	0.7405474539
205	0.7393673081
210	0.7382348385
215	0.73724816
220	0.7362509442
225	0.7350816169
230	0.7341723066
235	0.7332917518
240	0.7326093476
245	0.7318659668
250	0.7311114866
255	0.730180118
260	0.7291149474
265	0.7282190782
270	0.7274392613
275	0.7265374443
280	0.7256451345
285	0.7246785474
290	0.7239598008
295	0.7234066558
300	0.7227400811
305	0.7220317783
310	0.7213968628
315	0.7208242352
320	0.720169603
325	0.7196319129
330	0.7190783933
335	0.718539907
340	0.7180130822
345	0.7174712239
350	0.7169212167
355	0.7164576165
360	0.715918896
365	0.7153880904
370	0.7149156387
375	0.7144082028
380	0.7139451645
385	0.7134711205
390	0.712893154
395	0.7124428075
400	0.7120567628
405	0.7115792999
410	0.7111035231
415	0.7105934177
420	0.7102077944
425	0.7097867654
430	0.7093285042
435	0.7088135749
440	0.7083241697
445	0.7078966309
450	0.7074530752
455	0.7069899901
460	0.7066125626
465	0.7062066607
470	0.7058073154
475	0.7053800576
480	0.7050403776
485	0.7046754077
490	0.704334229
495	0.7039954388
500	0.70365796
505	0.7032874638
510	0.702936778
515	0.7026254788
520	0.7023256537
525	0.7020373027
530	0.7017142016
535	0.7013600501
540	0.7010259433
545	0.7007788521
550	0.7003793663
555	0.7000329892
560	0.6996959318
565	0.6993827593
570	0.6991362302
575	0.6988911997
580	0.69863699
585	0.6983095334
590	0.6979984215
595	0.6978058441
600	0.697476561
605	0.6971530384
610	0.6968924594
615	0.6966230289
620	0.6963930318
625	0.6961081465
630	0.6958732788
635	0.6956139643
640	0.6953539472
645	0.6949918342
650	0.6946805818
655	0.6944125095
660	0.6942126261
665	0.6939815987
670	0.6937717867
675	0.6935854849
680	0.6934269551
685	0.6932490832
690	0.6930340727
695	0.6927957862
700	0.6926314491
705	0.6923911956
710	0.6921625567
715	0.6919105013
720	0.6917276651
725	0.6913252757
730	0.6910296655
735	0.6908541822
740	0.690644979
745	0.6904398503
750	0.6902465703
755	0.689922111
760	0.6896927697
765	0.6894773845
770	0.6892181168
775	0.6890216054
780	0.6888473865
785	0.6886572444
790	0.6884688819
795	0.6882403367
800	0.6880447619
805	0.687871105
810	0.6876881283
815	0.6874039923
820	0.6871264129
825	0.6869180527
830	0.6867006069
835	0.686465505
840	0.6862578942
845	0.6859717912
850	0.6857984621
855	0.6856161411
860	0.6853993041
865	0.6852099113
870	0.6850120885
875	0.6848140785
880	0.6847327295
885	0.6846718934
890	0.6845765881
895	0.6843548805
900	0.6841941027
905	0.6839714584
910	0.6838344718
915	0.6836539305
920	0.6834770421
925	0.683307366
930	0.6831619494
935	0.6829509197
940	0.6827844751
945	0.6825692305
950	0.6823161447
955	0.6821439397
960	0.6820019887
965	0.6818208385
970	0.681638096
975	0.6814313282
980	0.6813010386
985	0.6811539829
990	0.6809789678
995	0.6807883105
1000	0.6806575527
1005	0.6805207534
1010	0.6803745875
1015	0.6802217713
1020	0.6801197689
1025	0.6800160806
1030	0.6798588153
1035	0.6796601027
1040	0.6795849825
1045	0.679525364
1050	0.6793942784
1055	0.6792728871
1060	0.6791377738
1065	0.6790107626
1070	0.6788935863
1075	0.6786901905
1080	0.6785400906
1085	0.6784390717
1090	0.678286958
1095	0.6781754017
1100	0.6780283928
1105	0.677915572
1110	0.6777877647
1115	0.6776109699
1120	0.6774493491
1125	0.6773421483
1130	0.6772259087
1135	0.677077448
1140	0.6769279569
1145	0.6768524621
1150	0.6767758901
1155	0.6766725764
1160	0.6765244903
1165	0.6763884872
1170	0.6762125354
1175	0.676073535
1180	0.6759214681
1185	0.6757817652
1190	0.6756786388
1195	0.6755749973
1200	0.6754423193
1205	0.6752968559
1210	0.6752117134
1215	0.6751095237
1220	0.6749957663
1225	0.6749231283
1230	0.6748014092
1235	0.6746975803
1240	0.6745460286
1245	0.6744157391
1250	0.6742879318
1255	0.6741422342
1260	0.6740163001
1265	0.6738901788
1270	0.6737865841
1275	0.6736542339
1280	0.6735603805
1285	0.6734773924
1290	0.6733860211
1295	0.6732621946
1300	0.673138368
1305	0.6729772155
1310	0.6728499233
1315	0.6727468438
1320	0.6726073282
1325	0.6724685619
1330	0.6723645926
1335	0.6722278401
1340	0.672052825
1345	0.6719342438
1350	0.6717899044
1355	0.6716436448
1360	0.6714930297
1365	0.6713781015
1370	0.6712737106
1375	0.6711961083
1380	0.671077527
1385	0.6709462072
1390	0.6708486071
1395	0.6707335384
1400	0.670603764
1405	0.6704748795
1410	0.6703638852
1415	0.6702528441
1420	0.6701602552
1425	0.6701051795
1430	0.6700206459
1435	0.6699405145
1440	0.6698242749
1445	0.6696941728
1450	0.6695999915
1455	0.6694933527
1460	0.6693590356
1465	0.6692881303
1470	0.6691857065
1475	0.6690761172
1480	0.6689349156
1485	0.6688174583
1490	0.6687221062
1495	0.6686261453
1500	0.6685402067
1505	0.6684051402
1510	0.668331706
1515	0.6682294695
1520	0.6681316821
1525	0.6680608238
1530	0.6679986295
1535	0.6679228536
1540	0.6678411768
1545	0.6677197387
1550	0.6676014385
1555	0.6675038853
1560	0.6674069877
