neighbourhood_cleansed,avg_price,median_price,count,avg_revenue,median_revenue,avg_occupancy,avg_review,superhost_pct,latitude,longitude,revenue_ranking
3M-Bourgailh,65.33,58.0,9,2147.33,0.0,37.33,4.89,22.22,44.8,-0.67,60.0
Ambars-et-Lagrave,100.72,71.0,61,4728.92,1350.0,47.0,4.73,18.03,44.93,-0.49,31.0
Ambs,42.64,37.0,14,1274.57,648.0,28.71,4.76,14.29,45.01,-0.53,61.0
Arago-La Chataigneraie,71.18,58.0,49,4970.9,3900.0,74.78,4.73,48.98,44.79,-0.65,24.0
Arlac,91.91,69.0,68,4248.32,2877.0,63.0,4.85,36.76,44.82,-0.62,45.0
Artigues-Prs-Bordeaux,113.68,68.5,44,4653.41,2280.0,67.95,4.87,36.36,44.86,-0.49,33.0
Bassens,105.21,67.0,24,5148.92,2074.0,41.75,4.73,16.67,44.9,-0.51,22.0
Beaudsert,109.16,70.0,25,7691.24,2160.0,84.64,4.6,16.0,44.84,-0.69,7.0
Beutre,95.24,63.0,25,5762.6,2100.0,84.48,4.88,32.0,44.81,-0.69,17.0
Bgles,94.46,66.0,335,4150.17,1872.0,61.07,4.81,32.24,44.81,-0.56,48.0
Blanquefort,119.15,74.5,84,4413.29,1644.0,60.44,4.81,32.14,44.92,-0.63,42.0
Bordeaux Maritime,100.7,81.0,347,5861.79,2496.0,58.78,4.79,29.11,44.87,-0.56,16.0
Bordeaux Sud,130.98,79.0,903,6874.41,3720.0,75.3,4.74,31.56,44.83,-0.56,9.0
Bouliac,210.76,135.0,41,5331.24,3780.0,60.29,4.69,17.07,44.82,-0.5,19.0
Bourran,100.71,60.0,38,4550.63,1218.0,56.74,4.83,26.32,44.84,-0.63,38.0
Brivazac-Candau,75.3,53.0,27,4305.11,2560.0,66.04,4.89,33.33,44.81,-0.61,43.0
Bruges,114.95,80.0,151,4622.83,2064.0,51.9,4.82,33.11,44.88,-0.6,35.0
Cap de Bos,69.22,59.0,9,8664.89,9828.0,135.33,4.95,66.67,44.79,-0.69,4.0
