Amenity,Count,Price Premium ($),Revenue Diff ($),% of Listings
Kitchen,6951,26.0,2346.9373672365746,89.4%
Cooking basics,5438,16.0,4055.9083764770235,69.9%
Hair dryer,5462,15.0,4211.874362924498,70.2%
Dishes and silverwar,5819,13.0,4806.700875421655,74.8%
Wifi,6767,10.0,293.610418688354,87.0%
Essentials,5146,5.5,2418.288074840789,66.2%
Hangers,5383,5.0,2367.741155117188,69.2%
Bed linens,5626,4.0,4268.380684573878,72.3%
Hot water,6242,3.5,2826.1104177931093,80.3%
Smoke alarm,6275,3.0,1256.6638606982578,80.7%
